Name,PA,IP,Primary.WAR,Total.WAR,Position,Salary
Shea Spitzbarth,NA,5,-0.129713505506516,-0.1,RP,570500
Ryan Dorow,7,NA,-0.132342398166656,-0.1,3B,570500
Ljay Newsome,NA,14.2,-0.132947072386742,-0.1,RP,570500
Stefan Crichton,NA,23.1,-0.132965624332428,-0.1,RP,596400
Scott Heineman,34,NA,-0.133574619889259,-0.1,CF,570500
Jace Fry,NA,6.2,-0.134211331605911,-0.1,RP,862500
Packy Naughton,NA,22.2,-0.12346239387989,-0.1,RP,570500
Drew Carlton,NA,3.2,-0.134330168366432,-0.1,RP,570500
Stephen Nogosek,NA,3,-0.123987086117268,-0.1,RP,570500
Cole Tucker,131,NA,-0.13518151640892,-0.1,SS,570500
Patrick Mazeika,87,NA,-0.136589676141739,-0.1,C,570500
Kent Emanuel,NA,17.2,-0.136834874749184,-0.1,RP,570500
Mauricio Dubon,187,NA,-0.138715967535973,-0.1,CF,570500
Tyler Webb,NA,16.1,-0.129286989569664,-0.1,RP,593000
RJ Alaniz,NA,2.2,-0.129139021039009,-0.1,RP,570500
Peter Lambert,NA,5.2,-0.118368655443192,-0.1,SP,570500
Yoan Lopez,NA,12.1,-0.146854028105736,-0.1,RP,570500
Emmanuel Rivera,98,NA,-0.147335946559906,-0.1,3B,570500
Josiah Gray,NA,70.2,-0.0106977224349976,-0.1,SP,570500
Enoli Paredes,NA,8.2,-0.147648930549622,-0.1,RP,596900
Jose Rojas,184,NA,-0.148366317152977,-0.1,3B,570500
Troy Stokes Jr.,20,NA,-0.149766400456429,-0.1,RF,570500
Ryan Castellani,NA,3.1,-0.140568614006042,-0.2,SP,570500
Anderson Tejeda,17,NA,-0.155069813132286,-0.2,SS,570500
Anthony Banda,NA,33.2,-0.146442331373692,-0.2,RP,570500
Brent Rooker,213,NA,-0.157881453633308,-0.2,NA,NA
Alberto Baldonado,NA,10.2,-0.157922625541687,-0.2,RP,570500
Mason Thompson,NA,24.2,-0.161513920873404,-0.2,RP,570500
Zack Burdi,NA,10,-0.162376558408141,-0.2,RP,570500
Mike Brosseau,169,NA,-0.164315402507782,-0.2,3B,586300
Jake Newberry,NA,4.1,-0.16452930867672,-0.2,RP,570500
Miguel Sanchez,NA,26,-0.154896125197411,-0.2,RP,570500
Tim Lopes,11,NA,-0.16653548181057,-0.2,2B,576100
Marcos Diplan,NA,30,-0.167447224259377,-0.2,RP,570500
Kevin Smith,36,NA,-0.170112013816833,-0.2,SS,570500
Keury Mella,NA,1.2,-0.171665370464325,-0.2,RP,570500
Chadwick Tromp,18,NA,-0.172217309474945,-0.2,C,570500
Jake Latz,NA,4.2,-0.172257855534554,-0.2,SP,570500
Jake Hager,30,NA,-0.173888154327869,-0.2,2B,570500
Neftali Feliz,NA,4,-0.174537874758244,-0.2,RP,570500
Mickey Jannis,NA,3.1,-0.17511411011219,-0.2,RP,570500
Jacob Robson,7,NA,-0.176587641239166,-0.2,CF,570500
Paul Campbell,NA,26.2,-0.123248815536499,-0.2,NA,NA
Mike Baumann,NA,10,-0.178320959210396,-0.2,RP,570500
Chris Gittens,44,NA,-0.180232644081116,-0.2,1B,570500
Nivaldo Rodriguez,NA,7.1,-0.183348193764687,-0.2,RP,570500
Zach Reks,10,NA,-0.184592485427856,-0.2,LF,570500
Tanner Roark,NA,7,-0.1858119815588,-0.2,SP,12000000
Nick Williams,13,NA,-0.185873627662659,-0.2,RF,570500
Alejo Lopez,23,NA,-0.187869682908058,-0.2,2B,570500
Mike Ford,72,NA,-0.189614072442055,-0.2,1B,570500
Tommy Nance,NA,28.2,-0.167000234127045,-0.2,RP,570500
Mike Tauchman,191,NA,-0.196137519087642,-0.2,LF,624200
Riley Smith,NA,67.1,0.0030579213052988,-0.2,RP,582300
Kyle Wright,NA,6.1,-0.264755457639694,-0.2,SP,570500
Alec Bettinger,NA,10,-0.185364723205566,-0.2,RP,570500
Jake Petricka,NA,6,-0.196900874376297,-0.2,RP,570500
Brad Peacock,NA,5.1,-0.196901232004166,-0.2,RP,570500
Luis Garcia N,247,NA,-0.198434293270111,-0.2,NA,NA
Adam Haseley,21,NA,-0.198654353618622,-0.2,CF,578500
Yairo Munoz,11,NA,-0.200471103191376,-0.2,NA,NA
Johneshwy Fargas,54,NA,-0.201393640134484,-0.2,CF,570500
Justin Garza,NA,28.2,-0.203465014696121,-0.2,RP,570500
Aramis Garcia,94,NA,-0.206870973110199,-0.2,C,575500
Jorge Bonifacio,12,NA,-0.207879528403282,-0.2,RF,570500
Travis Bergen,NA,10.2,-0.209378004074097,-0.2,RP,570500
Anthony Bemboom,28,NA,-0.156731054186821,-0.2,NA,NA
Yennsy Diaz,NA,25,-0.20661535859108,-0.2,RP,570500
Keegan Thompson,NA,53.1,-0.223038077354431,-0.2,RP,570500
Brent Honeywell,NA,4.1,-0.221312075853348,-0.2,SP,575000
Adam Kolarek,NA,9,-0.223998725414276,-0.2,RP,595500
Wyatt Mathisen,51,NA,-0.233468145132065,-0.2,3B,570500
Jordan Weems,NA,5.2,-0.227483011782169,-0.2,RP,570500
Josh Reddick,158,NA,-0.152915462851524,-0.2,RF,570500
Angel Perdomo,NA,17,-0.229382887482643,-0.2,RP,570500
Trent Giambrone,13,NA,-0.23220120370388,-0.2,2B,570500
Eddy Alvarez,74,NA,-0.23687881231308,-0.2,2B,570500
Justus Sheffield,NA,80.1,-0.2894267141819,-0.2,SP,625000
Seth Frankoff,NA,14.2,-0.249340668320656,-0.2,SP,570500
Riley O'Brien,NA,1.1,-0.238477542996407,-0.2,SP,570500
Alan Trejo,50,NA,-0.240757688879967,-0.2,SS,570500
Hans Crouse,NA,7,-0.232282251119614,-0.2,SP,570500
Jeremy Beasley,NA,9.1,-0.244569346308708,-0.2,RP,570500
Luis Madero,NA,12,-0.235010355710983,-0.2,SP,570500
Sebastian Rivero,44,NA,-0.246330663561821,-0.2,C,570500
Trevor Megill,NA,23.2,-0.248090341687202,-0.2,RP,570500
Steven Souza Jr.,36,NA,-0.249019369482994,-0.2,RF,570500
Nick Heath,39,NA,-0.250389218330383,-0.3,CF,570500
Manuel Rodriguez,NA,17.2,-0.239903703331947,-0.3,RP,570500
Dustin Fowler,46,NA,-0.253711342811584,-0.3,CF,570500
Mickey Moniak,37,NA,-0.254344969987869,-0.3,CF,570500
JB Bukauskas,NA,17.1,-0.259421706199646,-0.3,RP,570500
Darien Nunez,NA,7.2,-0.261137068271637,-0.3,RP,570500
Max Moroff,16,NA,-0.262054771184921,-0.3,2B,570500
Ryan Feltner,NA,6.1,-0.249368727207184,-0.3,SP,570500
Khalil Lee,18,NA,-0.264371991157532,-0.3,CF,570500
Jackson Kowar,NA,30.1,-0.267716944217682,-0.3,SP,570500
Ryan Borucki,NA,23.2,-0.269345670938492,-0.3,RP,595200
Touki Toussaint,NA,50,-0.182976126670837,-0.3,SP,590500
Brandon Waddell,NA,9.1,-0.26047576405108,-0.3,RP,570500
Mark Payton,24,NA,-0.27783527970314,-0.3,LF,570500
Henry Ramos,55,NA,-0.280051589012146,-0.3,RF,570500
Jose Godoy,40,NA,-0.280626624822617,-0.3,C,570500
Nick Neidert,NA,35.2,-0.217717975378036,-0.3,SP,570500
Mike Fiers,NA,9.1,-0.294155359268188,-0.3,SP,3500000
Jefry Rodriguez,NA,24.1,-0.273802608251572,-0.3,RP,570500
Mike Freeman,65,NA,-0.312605977058411,-0.3,2B,570500
Chad Wallach,66,NA,-0.303122878074646,-0.3,C,570500
Joshua Fuentes,284,NA,-0.31406569480896,-0.3,1B,575500
Luis Oviedo,NA,29.2,-0.307543009519577,-0.3,RP,570500
Ryan Weber,NA,9.2,-0.310344197787344,-0.3,SP,570500
Robert Stock,NA,9,-0.270294070243835,-0.3,SP,570500
Isaac Paredes,85,NA,-0.31745707988739,-0.3,3B,570500
Tyler Zuber,NA,27.1,-0.308314502239227,-0.3,RP,570500
Darren McCaughan,NA,9,-0.301735043525696,-0.3,SP,570500
Cionel Perez,NA,24,-0.300779700279236,-0.3,RP,572500
Chase De Jong,NA,43.2,-0.28675651550293,-0.3,SP,570500
Mauricio Llovera,NA,6.2,-0.325564503669739,-0.3,RP,570500
Dean Kremer,NA,53.2,-0.32637432217598,-0.3,SP,572500
Ryan McKenna,197,NA,-0.328324049711227,-0.3,CF,570500
Adrian Sampson,NA,35.1,-0.204206481575966,-0.3,RP,570500
Nick Mears,NA,23.1,-0.318812221288681,-0.3,RP,570500
Andre Scrubb,NA,19.2,-0.334425270557404,-0.3,RP,601600
Jesus Tinoco,NA,1.1,-0.339440405368805,-0.3,RP,570500
Jose Marmolejos,122,NA,-0.341771930456161,-0.3,LF,575500
Tucupita Marcano,50,NA,-0.342934727668762,-0.3,SS,570500
PJ Higgins,25,NA,-0.34564071893692,-0.3,C,570500
Sal Romano,NA,25,-0.32593872398138,-0.3,RP,570500
Aaron Slegers,NA,31,-0.351968318223953,-0.4,RP,570500
Will Craig,65,NA,-0.353347599506378,-0.4,3B,570500
Matt Adams,40,NA,-0.355013281106949,-0.4,1B,570500
Jared Oliva,43,NA,-0.355373114347458,-0.4,CF,570500
Cameron Maybin,33,NA,-0.356669455766678,-0.4,RF,570500
Trent Thornton,NA,49,-0.358365386724472,-0.4,RP,592900
Edward Cabrera,NA,26.1,-0.386707127094269,-0.4,NA,NA
Jason Vosler,82,NA,-0.36410653591156,-0.4,3B,570500
Greg Deichmann,31,NA,-0.364198952913284,-0.4,RF,570500
Mac Sceroler,NA,7.2,-0.364911824464798,-0.4,RP,570500
Jon Duplantier,NA,13,-0.396938443183899,-0.4,SP,570500
Eric Yardley,NA,18.2,-0.388235926628113,-0.4,RP,577800
Jonathan Davis,103,NA,-0.389587514102459,-0.4,CF,570500
Shane Greene,NA,23.2,-0.389703027904034,-0.4,RP,1185555
Justin Miller,NA,19,-0.400636315345764,-0.4,RP,570500
Rio Ruiz,141,NA,-0.405761376023293,-0.4,3B,570500
Hyeon-jong Yang,NA,35.1,-0.405763357877731,-0.4,RP,570500
Luke Raley,72,NA,-0.406531363725662,-0.4,CF,570500
Brett de Geus,NA,50,-0.409572288393974,-0.4,RP,570500
John Nogowski,143,NA,-0.436884574592113,-0.4,1B,570500
Jake Jewell,NA,10,-0.415716469287872,-0.4,RP,570500
Ryan Hendrix,NA,31.2,-0.415505945682526,-0.4,RP,570500
Scott Schebler,34,NA,-0.428423166275024,-0.4,CF,570500
Luis Rengifo,190,NA,-0.448706299066544,-0.4,SS,570500
Wander Suero,NA,42.2,-0.437450259923935,-0.4,RP,600700
Drew Ellis,83,NA,-0.452263325452805,-0.5,3B,570500
Brandyn Sittinger,NA,4.2,-0.458762317895889,-0.5,RP,570500
Richie Martin,105,NA,-0.46235466003418,-0.5,SS,570500
Edgar Garcia,NA,14.2,-0.46528859436512,-0.5,RP,570500
Cory Abbott,NA,17.1,-0.50395405292511,-0.5,SP,570500
Vidal Brujan,26,NA,-0.472921550273895,-0.5,2B,570500
Beau Burrows,NA,11,-0.47844463493675,-0.5,RP,570500
Trevor Stephan,NA,63.1,-0.48053640127182,-0.5,RP,570500
Corbin Martin,NA,16,-0.508092224597931,-0.5,SP,570500
Zach McKinstry,172,NA,-0.481995314359665,-0.5,SS,573000
Miguel Yajure,NA,15,-0.452798336744308,-0.5,SP,570500
Kean Wong,66,NA,-0.491172164678574,-0.5,2B,570500
Kevan Smith,106,NA,-0.494486878626049,-0.5,C,570500
Daniel Ponce de Leon,NA,33.1,-0.452230870723724,-0.5,RP,570500
Phillip Evans,247,NA,-0.515679955482483,-0.5,3B,650000
Buck Farmer,NA,35.1,-0.510491967201233,-0.5,RP,1850000
Shed Long Jr.,121,NA,-0.518216669559479,-0.5,2B,580500
Wes Benjamin,NA,22.2,-0.525358140468597,-0.5,RP,574500
JC Mejia,NA,52.1,-0.519244015216827,-0.5,SP,570500
Victor Robles,369,NA,-0.53159236907959,-0.5,CF,614000
Jarren Duran,112,NA,-0.542093932628632,-0.5,CF,570500
Gregory Santos,NA,2,-0.549903690814972,-0.5,RP,570500
Albert Abreu,NA,36.2,-0.552442491054535,-0.6,RP,570500
Kelvin Gutierrez,295,NA,-0.575772568583488,-0.6,3B,570500
Jerad Eickhoff,NA,19.2,-0.728240072727203,-0.6,SP,1250000
Ka'ai Tom,133,NA,-0.604073256254196,-0.6,LF,570500
Luis Campusano,38,NA,-0.587289392948151,-0.6,C,571100
Jahmai Jones,72,NA,-0.607730805873871,-0.6,2B,570500
Sheldon Neuse,66,NA,-0.608680844306946,-0.6,SS,570500
Andrew Albers,NA,19,-0.612953305244446,-0.6,SP,750000
Stevie Wilkerson,76,NA,-0.571250796318054,-0.6,2B,570500
Kyle Keller,NA,33.1,-0.627155423164368,-0.6,RP,570500
TJ Zeuch,NA,15,-0.628858029842377,-0.6,SP,570500
Kohei Arihara,NA,40.2,-0.612170577049255,-0.6,SP,2600000
Chance Sisco,83,NA,-0.642899073660374,-0.6,C,570500
Gilberto Celestino,62,NA,-0.655440330505371,-0.7,CF,570500
Zack Short,184,NA,-0.655985772609711,-0.7,2B,570500
Brooks Kriske,NA,11.1,-0.659654594957829,-0.7,RP,570500
Curtis Terry,48,NA,-0.662866175174713,-0.7,1B,570500
Robel Garcia,117,NA,-0.565850615501404,-0.7,2B,580500
Cristian Pache,68,NA,-0.68172824382782,-0.7,CF,580500
Isan Diaz,277,NA,-0.683061182498932,-0.7,2B,570500
Matt Shoemaker,NA,60.1,-0.689043939113617,-0.7,SP,2000000
Jarred Kelenic,377,NA,-0.6915123462677,-0.7,CF,570500
Carter Kieboom,249,NA,-0.69190639257431,-0.7,3B,570500
Drew Butera,36,NA,-0.716096818447113,-0.7,C,570500
Albert Almora Jr.,54,NA,-0.632626473903656,-0.7,CF,1250000
Keston Hiura,197,NA,-0.731018424034119,-0.7,2B,584600
Ryan O'Hearn,254,NA,-0.7375568151474,-0.7,1B,570500
Griffin Jax,NA,82,-0.710873007774353,-0.7,NA,NA
Franchy Cordero,136,NA,-0.75909411907196,-0.8,LF,800000
Ildemaro Vargas,83,NA,-0.763010486960411,-0.8,2B,570500
Justin Williams,137,NA,-0.790920853614807,-0.8,RF,572000
Domingo Leyba,96,NA,-0.882870048284531,-0.9,2B,570500
David Hess,NA,20,-0.935023590922356,-1,RP,570500
Austin Wynns,139,NA,-0.941054403781891,-1,C,570500
Alex Young,NA,52,-0.986974239349365,-1,2B,570500
Owen Miller,202,NA,-1.10185599327087,-1.1,SS,570500
Adam Plutko,NA,56.1,-1.18727374076843,-1.2,RP,584200
